anemia	observe after	hemorrhage	>	anemia	cause by	hemorrhage
transfusion	be in	anemia	>	transfusion	improve	anemia
splenectomy	relieve	anemia	>	splenectomy	correct	anemia
anemia	occur after	hemorrhage	>	transfusion	correct	anemia
iron	correct	anemia	>	iron	cure	anemia
anemia	characterize by	pallor	>	pallor	associate with	anemia
bleeding	manifest as	anemia	>	transfusion	give with	anemia
iron	use in	anemia	>	iron	give in	anemia
bleeding	manifest as	anemia	>	transfusion	be in	anemia
transfusion	give for	anemia	>	transfusion	administer for	anemia
iron	use in	anemia	>	anemia	require	iron
anemia	observe after	hemorrhage	>	bleeding	associate with	anemia
hemolysis	lead to	anemia	>	hemolysis	explain	anemia
anemia	develop from	hemorrhage	>	transfusion	require in	anemia
bleeding	produce	anemia	>	bleeding	manifest as	anemia
leukemia	masquerade as	anemia	>	leukemia	associate with	anemia
leukemia	present	anemia	>	anemia	accompany	leukemia
anemia	suggest	hemorrhage	>	bleeding	result in	anemia
hemorrhage	cause	anemia	>	transfusion	give with	anemia
splenectomy	ameliorate	anemia	>	splenectomy	correct	anemia
iron	cause	anemia	>	anemia	cause by	iron
bleeding	manifest as	anemia	>	anemia	treat by	transfusion
hemolysis	produce	anemia	>	anemia	associate with	hemolysis
anemia	accompany	leukemia	>	anemia	find in	leukemia
diet	develop	anemia	>	anemia	cause by	diet
anemia	associate with	bleeding	>	anemia	require	transfusion
pregnancy	associate with	anemia	>	anemia	associate with	pregnancy
pallor	suggest	anemia	>	anemia	manifest by	pallor
anemia	develop of	hemolysis	>	hemolysis	contribute to	anemia
bleeding	manifest as	anemia	>	anemia	observe after	hemorrhage
anemia	result from	hemorrhage	>	bleeding	lead to	anemia
bleeding	result in	anemia	>	transfusion	require for	anemia
iron	indicate for	anemia	>	iron	indicate in	anemia
anemia	manifest by	pallor	>	anemia	evidence by	pallor
anemia	correct by	iron	>	anemia	treat with	iron
anemia	suggest by	pallor	>	anemia	produce	pallor
anemia	observe after	hemorrhage	>	anemia	correct by	transfusion
anemia	cause by	hemolysis	>	hemolysis	associate with	anemia
anemia	relieve by	splenectomy	>	splenectomy	perform for	anemia
leukemia	present as	anemia	>	anemia	accompany	leukemia
bleeding	lead to	anemia	>	transfusion	be in	anemia
hemolysis	contribute to	anemia	>	hemolysis	lead to	anemia
bleeding	manifest as	anemia	>	transfusion	use for	anemia
