antibiotic	use in	procedure	>	antibiotic	give before	surgery
diarrhea	respond with	antibiotic	>	antibiotic	save	life
antibiotic	use in	ulcer	>	antibiotic	lead to	infection
antibiotic	reduce in	infection	>	antibiotic	be against	disease
antibiotic	use in	surgery	>	antibiotic	give for	procedure
antibiotic	be against	bacteria	>	antibiotic	inhibit in	bacteria
infection	resolve with	antibiotic	>	antibiotic	treat	disease
antibiotic	use for	procedure	>	antibiotic	give before	surgery
antibiotic	mask	infection	>	antibiotic	prescribe for	disease
antibiotic	use during	surgery	>	antibiotic	administer as	procedure
antibiotic	be against	bacteria	>	antibiotic	prevent	bacteria
infection	manage with	antibiotic	>	illness	treat with	antibiotic
antibiotic	destroy	bacteria	>	bacteria	eradicate by	antibiotic
antibiotic	work against	bacteria	>	organism	kill with	antibiotic
antibiotic	give before	surgery	>	antibiotic	administer to	procedure
antibiotic	administer in	disease	>	disease	require	antibiotic
antibiotic	indicate in	infection	>	infection	cure with	antibiotic
bacteria	eradicate by	antibiotic	>	antibiotic	eradicate	organism
bacteria	respond to	antibiotic	>	antibiotic	use with	infection
antibiotic	prescribe for	infection	>	infection	respond to	antibiotic
pneumonia	respond to	antibiotic	>	illness	treat with	antibiotic
antibiotic	recommend for	infection	>	antibiotic	use against	infection
antibiotic	induce	diarrhea	>	antibiotic	result in	diarrhea
diarrhea	respond with	antibiotic	>	antibiotic	cause	diarrhoea
antibiotic	use during	procedure	>	antibiotic	use during	surgery
antibiotic	administer for	infection	>	antibiotic	resolve	inflammation
infection	manage with	antibiotic	>	antibiotic	give for	infection
prostatitis	treat with	antibiotic	>	antibiotic	control	infection
antibiotic	reduce	infection	>	antibiotic	prevent	disease
antibiotic	mask	infection	>	antibiotic	indicate in	disease
acne	treat with	antibiotic	>	antibiotic	be in	acne
cellulitis	require	antibiotic	>	antibiotic	administer for	infection
bacteria	produce	antibiotic	>	antibiotic	derive	bacteria
antibiotic	resolve	infection	>	antibiotic	associate	infection
antibiotic	eliminate	infection	>	antibiotic	reduce	inflammation
infection	affect by	antibiotic	>	antibiotic	wipe	disease
bacteria	expose to	antibiotic	>	bacteria	eradicate by	antibiotic
infection	need	antibiotic	>	infection	help by	antibiotic
antibiotic	prevent	meningitis	>	antibiotic	reduce	infection
illness	manage with	antibiotic	>	disease	require	antibiotic
antibiotic	restrict	infection	>	disease	cure with	antibiotic
antibiotic	destroy	gonococcus	>	antibiotic	administer for	infection
antibiotic	use as	prophylaxis	>	disease	control with	antibiotic
antibiotic	inhibit in	bacteria	>	antibiotic	use against	bacteria
bacteria	respond to	antibiotic	>	disease	require	antibiotic
infection	bring with	antibiotic	>	antibiotic	be in	infection
hepatitis	require	antibiotic	>	antibiotic	work against	infection
antibiotic	reduce	bacteria	>	antibiotic	help	infection
pneumonia	respond to	antibiotic	>	antibiotic	give for	pneumonia
antibiotic	prevent	bacteria	>	infection	resolve with	antibiotic
antibiotic	be in	infection	>	antibiotic	use in	disease
antibiotic	cover	bacteria	>	antibiotic	be in	disease
antibiotic	give to	procedure	>	antibiotic	recommend for	procedure
antibiotic	inhibit	bacteria	>	antibiotic	use against	bacteria
antibiotic	prevent	glomerulonephritis	>	infection	bring with	antibiotic
antibiotic	be against	bacteria	>	antibiotic	use for	disease
antibiotic	affect	bacteria	>	antibiotic	cover	organism
bacteria	treat with	antibiotic	>	antibiotic	give with	disease
antibiotic	wipe	bacteria	>	antibiotic	use in	disease
antibiotic	have	toxicity	>	antibiotic	exhibit	toxicity
antibiotic	prevent	infection	>	infection	need	antibiotic
antibiotic	eradicate	bacteria	>	antibiotic	give with	disease
antibiotic	give to	procedure	>	antibiotic	be in	surgery
antibiotic	administer as	prophylaxis	>	antibiotic	prolong	life
antibiotic	be in	diarrhea	>	antibiotic	shorten	illness
infection	bring with	antibiotic	>	antibiotic	prevent	infection
