pneumonia	precede by	influenza	>	pneumonia	include with	influenza
pneumonia	cause	infection	>	infection	give to	pneumonia
pneumonia	occur in	fever	>	pneumonia	complicate	fever
fever	develop into	pneumonia	>	pneumonia	accompany	fever
infection	predispose to	pneumonia	>	infection	characterize by	pneumonia
pneumonia	involve	infection	>	pneumonia	occur after	infection
infection	resemble	pneumonia	>	pneumonia	result from	infection
pneumonia	characterize by	cough	>	pneumonia	have	cough
pneumonia	treat with	penicillin	>	infection	produce	pneumonia
effusion	follow	pneumonia	>	effusion	be in	pneumonia
pneumonia	occur after	influenza	>	infection	cause	pneumonia
pneumonia	occur after	influenza	>	influenza	complicate by	pneumonia
pathogen	admit with	pneumonia	>	infection	characterize by	pneumonia
pneumonia	treat with	antibiotic	>	antibiotic	prescribe for	pneumonia
aspiration	precipitate	pneumonia	>	pneumonia	occur in	lung
pneumonia	occur after	infection	>	pneumonia	occur with	infection
streptococci	present in	pneumonia	>	pneumonia	represent	infection
pneumonia	associate with	abscess	>	pneumonia	complicate by	abscess
bacillus	cause	pneumonia	>	pneumonia	class as	infection
pneumonia	respond to	penicillin	>	pneumonia	complicate by	infection
pneumonia	precede by	influenza	>	pneumonia	cause by	infection
pneumonia	produce in	lung	>	pneumonia	cause into	lung
pneumonia	treat with	antibiotic	>	pneumonia	cause	infection
pneumonia	associate with	fever	>	pneumonia	occur in	fever
influenza	complicate by	pneumonia	>	influenza	cause	pneumonia
pneumonia	cause into	lung	>	pneumonia	involve	lung
pneumonia	class as	infection	>	infection	complicate	pneumonia
fever	prevail with	pneumonia	>	fever	complicate by	pneumonia
pneumonia	cause by	virus	>	pneumonia	follow	infection
pneumonia	imply	infection	>	infection	present as	pneumonia
infection	manifest by	pneumonia	>	infection	progress to	pneumonia
pneumonia	class as	infection	>	infection	present as	pneumonia
sputum	indicate	pneumonia	>	pneumonia	cause	sputum
pneumonia	cause by	streptococcus	>	infection	cause	pneumonia
pneumonia	cause by	virus	>	infection	manifest as	pneumonia
pneumonia	involve	infection	>	pneumonia	mean	infection
pneumonia	complicate by	effusion	>	pneumonia	associate with	effusion
pneumonia	associate with	aspiration	>	pneumonia	attack	lung
bronchitis	turn into	pneumonia	>	pneumonia	associate with	bronchitis
pneumonia	respond to	antibiotic	>	pneumonia	imply	infection
pneumonia	associate with	aspiration	>	pneumonia	involve	lung
pneumonia	cause by	streptococci	>	infection	resemble	pneumonia
pneumonia	accompany by	pleurisy	>	pneumonia	complicate with	pleurisy
pneumonia	occur during	infection	>	pneumonia	appear after	infection
gangrene	follow	pneumonia	>	pneumonia	terminate in	gangrene
pneumonia	imply	infection	>	infection	progress to	pneumonia
empyema	complicate	pneumonia	>	pneumonia	follow by	empyema
pathogen	include	pneumonia	>	infection	cause	pneumonia
infection	result in	pneumonia	>	pneumonia	complicate by	infection
penicillin	cure	pneumonia	>	bacteria	associate with	pneumonia
pneumonia	respond to	penicillin	>	infection	associate with	pneumonia
pneumonia	cause by	bacillus	>	pneumonia	precede by	infection
virus	cause	pneumonia	>	pneumonia	cause by	infection
bacteria	associate with	pneumonia	>	pneumonia	class as	infection
pneumonia	develop in	lung	>	pneumonia	cause into	lung
pneumonia	require	antibiotic	>	antibiotic	give for	pneumonia
pneumonia	respond to	antibiotic	>	antibiotic	give for	pneumonia
aspiration	cause	pneumonia	>	pneumonia	involve	lung
antibiotic	give for	pneumonia	>	pneumonia	modify by	infection
pneumonia	complicate by	infection	>	pneumonia	define as	infection
pneumonia	attack	lung	>	lung	examine for	pneumonia
pneumonia	cause by	streptococcus	>	pneumonia	occur as	infection
pneumonia	accompany	fever	>	fever	decline	pneumonia
life	cut by	pneumonia	>	pneumonia	associate with	death
meningitis	associate with	pneumonia	>	pneumonia	associate with	meningitis
infection	produce	pneumonia	>	pneumonia	complicate	infection
aspiration	cause	pneumonia	>	pneumonia	suggest	aspiration
pneumonia	mistake for	meningitis	>	pneumonia	simulate	meningitis
streptococci	cause	pneumonia	>	pneumonia	occur during	infection
pneumonia	treat with	tetracycline	>	infection	result in	pneumonia
fever	decline	pneumonia	>	fever	indicate	pneumonia
pneumonia	associate with	influenza	>	pneumonia	complicate	influenza
cold	bring on	pneumonia	>	pneumonia	cause by	chill
infection	predispose to	pneumonia	>	infection	begin as	pneumonia
pneumonia	cause into	lung	>	lung	affect by	pneumonia
aspiration	result in	pneumonia	>	pneumonia	associate with	aspiration
pneumonia	treat with	penicillin	>	pneumonia	occur with	infection
antibiotic	indicate for	pneumonia	>	pneumonia	precede by	infection
pneumonia	class as	infection	>	infection	complicate by	pneumonia
infection	occur in	pneumonia	>	infection	associate with	pneumonia
pneumonia	treat with	antibiotic	>	infection	predispose to	pneumonia
pneumonia	begin as	infection	>	infection	present with	pneumonia
pneumonia	occur from	aspiration	>	pneumonia	associate with	aspiration
pneumonia	cause by	streptococci	>	pneumonia	appear after	infection
pneumonia	show	bacillus	>	infection	associate with	pneumonia
bronchitis	lead to	pneumonia	>	bronchitis	progress to	pneumonia
pneumonia	precede by	influenza	>	pneumonia	associate with	influenza
bacteria	associate with	pneumonia	>	infection	lead to	pneumonia
fever	prevail with	pneumonia	>	pneumonia	associate with	fever
pneumonia	mean	infection	>	infection	include	pneumonia
pneumonia	require	antibiotic	>	antibiotic	indicate for	pneumonia
pneumonia	follow	influenza	>	infection	progress to	pneumonia
vaccine	prevent	pneumonia	>	life	save from	pneumonia
pneumonia	accompany by	bacteremia	>	infection	predispose to	pneumonia
pneumonia	occur with	infection	>	pneumonia	cause by	infection
pathogen	admit with	pneumonia	>	infection	progress to	pneumonia
pneumonia	come of	fever	>	pneumonia	occur in	fever
pneumonia	include with	influenza	>	pneumonia	follow	infection
