person	attack with	typhus	>	people	get	typhus
flea	transmit	typhus	>	typhus	transmit by	flea
louse	infect with	typhus	>	typhus	transmit by	bite
people	die from	typhus	>	typhus	kill	people
typhus	treat with	antibiotic	>	people	have	typhus
person	recover from	typhus	>	person	get	typhus
typhus	transmit by	flea	>	typhus	carry by	louse
flea	carry	typhus	>	typhus	carry by	tick
louse	convey	typhus	>	typhus	transmit by	flea
typhus	transmit by	flea	>	louse	infect with	typhus
typhus	spread by	louse	>	flea	spread	typhus
typhus	follow	fever	>	typhus	characterize by	fever
thousand	die of	typhus	>	thousand	die from	typhus
people	have	typhus	>	person	get	typhus
rash	begin in	typhus	>	typhus	have	rash
typhus	carry by	flea	>	flea	carry	typhus
typhus	spread by	flea	>	louse	convey	typhus
louse	transmit	typhus	>	flea	spread	typhus
flea	transmit	typhus	>	louse	bear	typhus
typhus	spread by	tick	>	typhus	carry by	flea
typhus	spread among	people	>	typhus	transmit from	person
typhus	claim	thousand	>	typhus	cause	death
typhus	spread by	tick	>	flea	transmit	typhus
village	infest with	typhus	>	typhus	break in	village
typhus	carry by	louse	>	typhus	carry by	flea
louse	spread	typhus	>	louse	bear	typhus
people	die of	typhus	>	people	get	typhus
flea	spread	typhus	>	louse	bear	typhus
typhus	spread by	louse	>	louse	transmit	typhus
person	die of	typhus	>	people	die of	typhus
typhus	transmit by	flea	>	flea	spread	typhus
typhus	carry by	tick	>	typhus	carry by	louse
typhus	kill	people	>	person	get	typhus
thousand	die from	typhus	>	typhus	claim	thousand
louse	infect with	typhus	>	typhus	carry by	flea
louse	spread	typhus	>	typhus	spread by	louse
typhus	transmit by	flea	>	typhus	carry by	tick
typhus	kill	people	>	people	have	typhus
typhus	carry by	flea	>	typhus	transmit by	louse
louse	infect with	typhus	>	flea	spread	typhus
flea	transmit	typhus	>	typhus	carry by	louse
typhus	kill	people	>	person	suffer from	typhus
person	get	typhus	>	person	have	typhus
louse	carry	typhus	>	typhus	spread by	tick
typhus	transmit by	louse	>	typhus	spread by	bite
flea	transmit	typhus	>	louse	transmit	typhus
louse	infect with	typhus	>	typhus	transmit by	louse
people	contract	typhus	>	people	get	typhus
flea	spread	typhus	>	typhus	carry by	louse
typhus	spread by	tick	>	typhus	spread by	bite
typhus	carry by	louse	>	typhus	spread by	flea
typhus	kill	people	>	people	die from	typhus
person	attack with	typhus	>	person	have	typhus
typhus	kill	thousand	>	thousand	die of	typhus
flea	spread	typhus	>	louse	infect with	typhus
typhus	transmit by	louse	>	typhus	spread by	louse
flea	spread	typhus	>	typhus	spread by	tick
typhus	kill	people	>	person	have	typhus
louse	convey	typhus	>	flea	transmit	typhus
typhus	carry by	louse	>	louse	carry	typhus
people	contract	typhus	>	person	have	typhus
flea	spread	typhus	>	typhus	transmit by	bite
louse	convey	typhus	>	typhus	transmit by	bite
louse	bear	typhus	>	typhus	carry by	tick
person	contract	typhus	>	people	contract	typhus
louse	convey	typhus	>	typhus	spread by	tick
louse	carry	typhus	>	louse	infect with	typhus
louse	transmit	typhus	>	flea	carry	typhus
flea	spread	typhus	>	typhus	carry by	tick
flea	transmit	typhus	>	typhus	transmit by	bite
flea	spread	typhus	>	louse	spread	typhus
people	die from	typhus	>	person	die of	typhus
people	contract	typhus	>	person	get	typhus
thousand	die of	typhus	>	people	die from	typhus
typhus	kill	thousand	>	person	attack with	typhus
typhus	carry by	flea	>	louse	carry	typhus
typhus	cause	death	>	people	die from	typhus
flea	transmit	typhus	>	louse	spread	typhus
person	get	typhus	>	people	have	typhus
flea	transmit	typhus	>	typhus	spread by	flea
thousand	die from	typhus	>	person	get	typhus
typhus	spread by	tick	>	louse	infect with	typhus
typhus	claim	thousand	>	thousand	die of	typhus
typhus	rag in	village	>	village	infest with	typhus
louse	infect with	typhus	>	typhus	transmit by	flea
person	suffer from	typhus	>	people	get	typhus
ricketts	contract	typhus	>	typhus	cause by	rickettsia
typhus	spread by	flea	>	typhus	spread by	louse
typhus	spread by	flea	>	louse	carry	typhus
louse	transmit	typhus	>	louse	spread	typhus
people	get	typhus	>	person	have	typhus
typhus	kill	people	>	typhus	cause	death
flea	transmit	typhus	>	typhus	spread by	bite
person	have	typhus	>	person	get	typhus
typhus	spread by	tick	>	louse	convey	typhus
typhus	kill	thousand	>	thousand	die from	typhus
louse	carry	typhus	>	typhus	transmit by	louse
thousand	die from	typhus	>	person	have	typhus
flea	spread	typhus	>	typhus	spread by	bite
person	recover from	typhus	>	people	get	typhus
typhus	carry by	tick	>	flea	carry	typhus
typhus	spread by	louse	>	louse	spread	typhus
typhus	claim	thousand	>	typhus	kill	people
typhus	carry by	tick	>	louse	spread	typhus
louse	spread	typhus	>	typhus	transmit by	louse
typhus	transmit by	louse	>	typhus	carry by	tick
typhus	claim	thousand	>	people	die from	typhus
flea	spread	typhus	>	typhus	spread by	louse
thousand	die from	typhus	>	people	die of	typhus
typhus	spread by	flea	>	flea	transmit	typhus
person	contract	typhus	>	people	have	typhus
typhus	spread by	tick	>	typhus	carry by	tick
typhus	kill	people	>	person	attack with	typhus
louse	carry	typhus	>	typhus	carry by	tick
louse	infect with	typhus	>	louse	bear	typhus
typhus	treat with	antibiotic	>	person	have	typhus
person	have	typhus	>	people	get	typhus
typhus	spread by	louse	>	louse	infect with	typhus
louse	convey	typhus	>	typhus	carry by	louse
typhus	spread by	tick	>	typhus	spread by	flea
typhus	spread by	louse	>	typhus	carry by	louse
typhus	spread by	flea	>	louse	spread	typhus
village	infest with	typhus	>	typhus	rag in	village
typhus	carry by	flea	>	typhus	spread by	louse
typhus	carry by	tick	>	typhus	spread by	bite
louse	bear	typhus	>	typhus	spread by	bite
typhus	transmit by	flea	>	typhus	spread by	bite
typhus	carry by	tick	>	louse	convey	typhus
fever	develop to	typhus	>	fever	turn to	typhus
typhus	have	rash	>	rash	begin in	typhus
typhus	transmit by	flea	>	flea	transmit	typhus
louse	carry	typhus	>	flea	transmit	typhus
people	die from	typhus	>	people	have	typhus
typhus	spread by	louse	>	louse	convey	typhus
typhus	follow	fever	>	fever	develop to	typhus
louse	infect with	typhus	>	louse	spread	typhus
fever	develop to	typhus	>	typhus	follow	fever
typhus	spread by	flea	>	typhus	transmit by	bite
typhus	carry by	louse	>	louse	infect with	typhus
typhus	transmit by	louse	>	louse	spread	typhus
flea	carry	typhus	>	flea	spread	typhus
person	die of	typhus	>	person	have	typhus
typhus	spread by	flea	>	typhus	spread by	tick
louse	transmit	typhus	>	typhus	transmit by	bite
typhus	spread by	louse	>	typhus	carry by	tick
typhus	spread among	people	>	person	have	typhus
louse	convey	typhus	>	louse	carry	typhus
people	get	typhus	>	person	get	typhus
louse	carry	typhus	>	louse	spread	typhus
typhus	transmit by	louse	>	typhus	transmit by	flea
louse	convey	typhus	>	flea	carry	typhus
people	die from	typhus	>	person	suffer from	typhus
typhus	carry by	louse	>	louse	convey	typhus
louse	bear	typhus	>	typhus	transmit by	bite
typhus	rag in	village	>	typhus	break in	village
typhus	spread by	louse	>	louse	bear	typhus
typhus	transmit by	louse	>	flea	transmit	typhus
louse	bear	typhus	>	typhus	spread by	tick
flea	carry	typhus	>	typhus	carry by	flea
people	die of	typhus	>	person	suffer from	typhus
typhus	treat with	antibiotic	>	person	get	typhus
typhus	spread by	tick	>	flea	carry	typhus
people	contract	typhus	>	typhus	spread among	people
flea	transmit	typhus	>	typhus	carry by	tick
typhus	carry by	tick	>	flea	spread	typhus
typhus	transmit by	louse	>	flea	carry	typhus
fever	turn to	typhus	>	temperature	rise in	typhus
typhus	carry by	tick	>	typhus	spread by	flea
