hyperpyrexia	require with	aspirin	>	fever	treat with	aspirin
aspirin	give as	antipyretic	>	aspirin	give	relief
aspirin	take for	pain	>	aspirin	prescribe for	discomfort
analgesic	include	aspirin	>	aspirin	use as	analgesic
child	give	aspirin	>	aspirin	give to	child
aspirin	relieve	discomfort	>	discomfort	relieve by	aspirin
hyperpyrexia	require with	aspirin	>	fever	control by	aspirin
headache	control with	aspirin	>	aspirin	be for	headache
aspirin	prescribe for	relief	>	relief	achieve with	aspirin
aspirin	prescribe for	pain	>	aspirin	use for	analgesic
aspirin	take by	child	>	child	treat with	aspirin
pain	treat with	aspirin	>	aspirin	help with	pain
aspirin	be for	pain	>	aspirin	combine with	analgesic
pain	relieve by	aspirin	>	aspirin	prescribe for	discomfort
aspirin	need for	pain	>	aspirin	provide	analgesia
aspirin	combine with	analgesic	>	pain	respond to	aspirin
aspirin	take	medication	>	medicine	include	aspirin
headache	control with	aspirin	>	headache	relieve by	aspirin
aspirin	use as	analgesic	>	aspirin	require for	relief
aspirin	use in	child	>	child	prescribe	aspirin
headache	relieve by	aspirin	>	discomfort	relieve by	aspirin
child	have	aspirin	>	aspirin	administer to	child
aspirin	recommend in	child	X	aspirin	avoid in	child
child	have	aspirin	X	child	avoid	aspirin
aspirin	give as	antipyretic	>	aspirin	lower	fever
medication	contain	aspirin	>	aspirin	use as	medication
pain	respond to	aspirin	>	aspirin	take for	pain
aspirin	use as	analgesic	>	relief	obtain with	aspirin
aspirin	alleviate	pain	>	aspirin	require for	relief
headache	relieve by	aspirin	>	aspirin	dull	pain
aspirin	cause from	stomach	>	aspirin	cause	stomach
aspirin	help with	pain	>	aspirin	ease	pain
headache	relieve by	aspirin	>	aspirin	combine with	analgesic
aspirin	be for	headache	>	aspirin	ease	pain
pain	respond to	aspirin	>	aspirin	be for	relief
pain	treat with	aspirin	>	aspirin	ease	pain
aspirin	induce	asthma	>	asthma	associate with	aspirin
pain	ease by	aspirin	>	aspirin	recommend for	relief
medicine	include	aspirin	>	aspirin	take	medication
aspirin	use in	fever	>	fever	control by	aspirin
aspirin	help	pain	>	pain	manage with	aspirin
aspirin	use for	fever	>	aspirin	use as	antipyretic
aspirin	prescribe for	relief	>	aspirin	recommend for	relief
child	avoid	aspirin	X	child	receive	aspirin
aspirin	relieve	headache	>	headache	treat with	aspirin
aspirin	use for	pain	>	aspirin	prescribe for	discomfort
aspirin	take for	pain	>	pain	respond to	aspirin
aspirin	indicate for	fever	>	hyperpyrexia	require with	aspirin
aspirin	prescribe as	anticoagulant	>	aspirin	interfere with	coagulation
aspirin	give for	headache	>	aspirin	use for	analgesic
aspirin	help	pain	>	aspirin	give for	pain
child	avoid	aspirin	X	child	have	aspirin
hyperpyrexia	require with	aspirin	>	aspirin	take for	relief
aspirin	relieve	pain	>	aspirin	take for	pain
aspirin	need for	pain	>	aspirin	give	relief
aspirin	prescribe for	relief	>	aspirin	give	relief
pain	relieve with	aspirin	>	aspirin	combine with	analgesic
aspirin	use for	analgesia	>	aspirin	help	pain
aspirin	give for	headache	>	pain	manage with	aspirin
aspirin	give with	food	>	aspirin	take with	food
aspirin	be in	child	X	child	avoid	aspirin
aspirin	interfere with	clotting	>	aspirin	associate with	bleeding
aspirin	help	pain	>	aspirin	need for	pain
aspirin	use for	pain	>	pain	ease by	aspirin
aspirin	use for	headache	>	pain	control with	aspirin
aspirin	interfere with	coagulation	>	aspirin	result in	bleeding
headache	treat with	aspirin	>	aspirin	recommend for	relief
aspirin	take for	headache	>	aspirin	provide	relief
aspirin	give to	child	>	aspirin	recommend in	child
aspirin	prevent	stroke	>	aspirin	lead to	bleeding
child	avoid	aspirin	X	aspirin	use in	child
pain	control by	aspirin	>	aspirin	be in	pain
child	give	aspirin	>	aspirin	take by	child
aspirin	combine with	analgesic	>	pain	manage with	aspirin
aspirin	ease	pain	>	aspirin	take for	pain
aspirin	need for	pain	>	aspirin	use for	pain
fever	control by	aspirin	>	aspirin	give for	fever
aspirin	be for	pain	>	aspirin	help with	pain
relief	achieve with	aspirin	>	aspirin	indicate for	relief
aspirin	help	pain	>	analgesic	include	aspirin
pain	relieve with	aspirin	>	analgesic	include	aspirin
aspirin	recommend in	child	>	aspirin	be in	child
aspirin	dull	pain	>	aspirin	relieve	ache
pain	control by	aspirin	>	aspirin	give	relief
aspirin	induce	hepatotoxicity	>	aspirin	cause	toxicity
aspirin	need for	pain	>	aspirin	relieve	discomfort
aspirin	reduce	pain	>	aspirin	use as	analgesic
fever	control with	aspirin	>	aspirin	prescribe for	relief
headache	control with	aspirin	>	pain	relieve with	aspirin
aspirin	use in	child	>	child	receive	aspirin
aspirin	be in	pain	>	aspirin	bring	relief
child	treat with	aspirin	>	child	prescribe	aspirin
analgesic	contain	aspirin	>	aspirin	use for	pain
aspirin	dull	pain	>	analgesic	contain	aspirin
aspirin	need for	pain	>	aspirin	control	pain
hyperpyrexia	require with	aspirin	>	aspirin	lower	fever
pain	relieve by	aspirin	>	aspirin	be in	pain
relief	obtain with	aspirin	>	aspirin	afford	relief
analgesic	include	aspirin	>	relief	achieve with	aspirin
aspirin	lower	fever	>	relief	achieve with	aspirin
headache	treat with	aspirin	>	aspirin	be for	pain
