caffeine	cause	arrhythmia	>	caffeine	be as	stimulant
coffee	contain	caffeine	>	caffeine	be in	coffee
caffeine	isolate from	coffee	>	caffeine	discover in	coffee
sleepiness	induce by	caffeine	>	caffeine	disrupt	sleep
caffeine	disrupt	sleep	>	caffeine	cause	sleeplessness
caffeine	stimulate	brain	>	caffeine	give as	stimulant
caffeine	decrease	drowsiness	>	caffeine	increase	alertness
caffeine	cause	anxiety	>	caffeine	cause	nervousness
diuretic	include	caffeine	>	caffeine	prefer for	stimulation
caffeine	act as	stimulant	>	caffeine	increase	stimulation
caffeine	stimulate	respiration	>	caffeine	produce	stimulation
caffeine	contribute to	nervousness	>	caffeine	cause	anxiety
caffeine	find in	coffee	>	coffee	contain	caffeine
caffeine	consume in	coffee	>	caffeine	extract from	coffee
drug	contain	caffeine	>	caffeine	classify as	drug
caffeine	obtain from	coffee	>	caffeine	remove from	coffee
caffeine	produce	diuresis	>	stimulant	include	caffeine
medication	contain	caffeine	>	caffeine	classify as	drug
caffeine	affect	cortex	>	caffeine	employ as	stimulant
caffeine	increase	amphetamine	>	caffeine	produce	stimulation
caffeine	use as	stimulant	>	stimulant	include	caffeine
caffeine	stimulate	muscle	>	stimulant	include	caffeine
caffeine	stimulate	myocardium	>	stimulant	contain	caffeine
caffeine	remove from	coffee	>	caffeine	occur in	coffee
caffeine	obtain from	tea	>	caffeine	occur in	tea
caffeine	be in	coffee	>	caffeine	discover in	coffee
caffeine	increase	arousal	>	caffeine	give as	stimulant
caffeine	increase	endurance	>	caffeine	increase	stimulation
caffeine	increase	stimulation	>	caffeine	prefer for	stimulation
caffeine	cause	fatigue	>	caffeine	disturb	sleep
respiration	quicken by	caffeine	>	caffeine	employ as	stimulant
caffeine	give	boost	>	caffeine	prefer for	stimulation
caffeine	find in	drug	>	caffeine	employ in	medicine
caffeine	constrict	artery	X	caffeine	dilate	vessel
caffeine	find in	medication	>	caffeine	be among	drug
stimulant	contain	caffeine	>	caffeine	give as	stimulant
caffeine	cause	tachycardia	>	caffeine	dilate	vessel
stimulant	include	caffeine	>	caffeine	prefer for	stimulation
caffeine	constrict	vessel	X	caffeine	dilate	vessel
caffeine	affect	cortex	>	caffeine	produce	stimulation
stimulant	include	caffeine	>	caffeine	class as	stimulant
caffeine	increase	amphetamine	>	caffeine	act as	stimulant
caffeine	excite	cns	>	caffeine	affect	cortex
caffeine	excite	cns	>	caffeine	employ as	stimulant
coffee	give	caffeine	>	coffee	contain	caffeine
respiration	quicken by	caffeine	>	caffeine	stimulate	respiration
coffee	have	caffeine	>	caffeine	remove from	coffee
drug	combine with	caffeine	>	caffeine	classify as	drug
caffeine	stimulate	cns	>	caffeine	employ as	stimulant
stimulant	contain	caffeine	>	caffeine	use as	stimulant
cocoa	have	caffeine	>	chocolate	have	caffeine
caffeine	consume in	coffee	>	caffeine	occur in	coffee
drug	contain	caffeine	>	caffeine	find in	medication
diuretic	include	caffeine	>	caffeine	act as	stimulant
caffeine	stimulate	motility	>	caffeine	use as	stimulant
caffeine	stimulate	myocardium	>	caffeine	act as	stimulant
caffeine	obtain from	coffee	>	coffee	contain	caffeine
caffeine	increase	arousal	>	caffeine	use as	stimulant
stimulant	include	caffeine	>	caffeine	use as	stimulant
medication	contain	caffeine	>	drug	combine with	caffeine
caffeine	cause	insomnia	>	caffeine	cause	sleeplessness
caffeine	increase	stimulation	>	caffeine	produce	stimulation
caffeine	find in	tea	>	caffeine	occur in	tea
caffeine	use in	medicine	>	drug	contain	caffeine
caffeine	occur in	coffee	>	caffeine	find in	coffee
caffeine	extract from	coffee	>	coffee	give	caffeine
caffeine	stimulate	brain	>	caffeine	excite	cns
caffeine	find in	medication	>	medication	contain	caffeine
caffeine	be among	drug	>	drug	combine with	caffeine
caffeine	affect	cortex	>	caffeine	stimulate	brain
caffeine	cause	fatigue	>	sleepiness	induce by	caffeine
caffeine	use as	stimulant	>	caffeine	employ as	stimulant
caffeine	provide	boost	>	caffeine	prefer for	stimulation
caffeine	excite	cns	>	caffeine	give as	stimulant
caffeine	be as	stimulant	>	stimulant	include	caffeine
caffeine	obtain from	coffee	>	caffeine	occur in	coffee
caffeine	discover in	coffee	>	caffeine	obtain from	coffee
caffeine	disturb	sleep	>	caffeine	interfere with	sleep
caffeine	disrupt	sleep	>	caffeine	interfere with	sleep
caffeine	stimulate	cns	>	caffeine	act as	stimulant
respiration	quicken by	caffeine	>	stimulant	contain	caffeine
caffeine	extract from	coffee	>	caffeine	consume in	coffee
caffeine	use in	medicine	>	drug	combine with	caffeine
caffeine	classify as	drug	>	caffeine	find in	medication
coffee	give	caffeine	>	caffeine	remove from	coffee
caffeine	increase	circulation	X	caffeine	constrict	vessel
coffee	have	caffeine	>	coffee	contain	caffeine
diuresis	enhance by	caffeine	>	caffeine	be as	stimulant
caffeine	increase	arousal	>	caffeine	prefer for	stimulation
caffeine	cause	nervousness	>	caffeine	cause	irritability
caffeine	prefer for	stimulation	>	caffeine	employ as	stimulant
chocolate	contain of	caffeine	>	cocoa	have	caffeine
caffeine	affect	cortex	>	caffeine	stimulate	cortex
tea	contain	caffeine	>	caffeine	obtain from	tea
caffeine	act as	stimulant	>	caffeine	produce	stimulation
caffeine	stimulate	muscle	>	caffeine	be as	stimulant
caffeine	be among	drug	>	caffeine	employ in	medicine
caffeine	produce	insomnia	>	caffeine	affect	sleep
caffeine	produce	diuresis	>	diuresis	enhance by	caffeine
drug	combine with	caffeine	>	medication	contain	caffeine
stimulant	contain	caffeine	>	caffeine	be as	stimulant
caffeine	cause	vasoconstriction	X	caffeine	dilate	bloodvessels
caffeine	act on	cortex	>	caffeine	stimulate	cns
