wound	lead to	tetanus	>	abrasion	result in	tetanus
tetanus	apply to	muscle	>	muscle	go in	tetanus
tetanus	follow	injury	>	tetanus	follow	wound
spasm	see in	tetanus	>	muscle	fall into	tetanus
muscle	go in	tetanus	>	muscle	be in	tetanus
tetanus	associate with	wound	>	tetanus	develop in	wound
tetanus	produce by	wound	>	wound	produce	tetanus
spasm	occur in	tetanus	>	spasm	observe in	tetanus
tetanus	develop from	infection	>	tetanus	cause by	infection
wound	follow by	tetanus	>	tetanus	develop in	wound
toxin	induce	tetanus	>	tetanus	exert by	toxin
muscle	fall into	tetanus	>	tetanus	apply to	muscle
tetanus	associate with	wound	>	tetanus	be after	wound
death	occur from	tetanus	>	tetanus	produce	death
tetanus	cause by	toxin	>	toxin	induce	tetanus
tetanus	follow	injury	>	injury	cause	tetanus
spasm	occur in	tetanus	>	spasm	be in	tetanus
tetanus	produce by	wound	>	tetanus	develop from	wound
tetanus	follow	infection	>	tetanus	cause by	infection
muscle	go into	tetanus	>	muscle	go in	tetanus
wound	produce	tetanus	>	cut	lead to	tetanus
cut	lead to	tetanus	>	tetanus	produce by	wound
muscle	throw into	tetanus	>	tetanus	apply to	muscle
wound	follow by	tetanus	>	tetanus	result from	wound
tetanus	follow	injury	>	tetanus	cause by	wound
tetanus	associate with	wound	>	tetanus	develop from	wound
muscle	be in	tetanus	>	muscle	throw into	tetanus
spasm	see in	tetanus	>	muscle	put into	tetanus
wound	result in	tetanus	>	injury	cause	tetanus
tetanus	distinguish from	poisoning	>	poisoning	simulate	tetanus
spasm	be in	tetanus	>	spasm	simulate	tetanus
abrasion	result in	tetanus	>	tetanus	develop in	wound
wound	result in	tetanus	>	abrasion	result in	tetanus
tetanus	exert by	toxin	>	tetanus	cause by	toxin
poisoning	differ from	tetanus	>	tetanus	distinguish from	poisoning
tetanus	ascend to	muscle	>	muscle	throw into	tetanus
tetanus	develop from	wound	>	wound	lead to	tetanus
muscle	go into	tetanus	>	muscle	be in	tetanus
wound	follow by	tetanus	>	tetanus	follow	injury
spasm	see in	tetanus	>	spasm	simulate	tetanus
spasm	see in	tetanus	>	muscle	exhaust by	tetanus
tetanus	result from	wound	>	injury	cause	tetanus
tetanus	develop from	wound	>	tetanus	follow	wound
spasm	be in	tetanus	>	muscle	throw into	tetanus
hyperpnea	follow	tetanus	>	tetanus	accompany by	hyperpnea
tetanus	characterize by	spasm	>	spasm	be in	tetanus
penicillin	protect against	tetanus	>	tetanus	cause by	bacteria
wound	produce	tetanus	>	tetanus	produce by	wound
spasm	observe in	tetanus	>	muscle	enter into	tetanus
tetanus	cause	spasm	>	tetanus	ascend to	muscle
wound	produce	tetanus	>	abrasion	result in	tetanus
tetanus	confound with	meningitis	>	tetanus	mistake for	meningitis
toxin	induce	tetanus	>	tetanus	cause by	toxin
tetanus	result from	wound	>	wound	follow by	tetanus
spasm	be in	tetanus	>	tetanus	apply to	muscle
tetanus	produce by	wound	>	tetanus	result from	wound
tetanus	cause by	infection	>	infection	include	tetanus
spasm	observe in	tetanus	>	spasm	see in	tetanus
wound	produce	tetanus	>	tetanus	follow	injury
tetanus	characterize by	stiffness	>	rigidity	suggest	tetanus
poisoning	mistake for	tetanus	>	poisoning	resemble	tetanus
wound	lead to	tetanus	>	injury	cause	tetanus
tetanus	result from	wound	>	abrasion	result in	tetanus
