antibiotic	be for	infection
infection	cure with	antibiotic
antibiotic	prescribe for	infection
infection	need	antibiotic
infection	treat by	antibiotic
antibiotic	cause	infection
antibiotic	kill	infection
infection	prevent with	antibiotic
antibiotic	administer for	infection
infection	clear with	antibiotic
infection	manage by	antibiotic
antibiotic	indicate in	infection
infection	manage with	antibiotic
infection	clear by	antibiotic
antibiotic	indicate for	infection
antibiotic	use with	infection
antibiotic	give for	infection
antibiotic	establish	infection
antibiotic	treat	infection
antibiotic	recommend for	infection
infection	control with	antibiotic
antibiotic	associate	infection
antibiotic	help	infection
antibiotic	cure	infection
antibiotic	reduce in	infection
antibiotic	order for	infection
antibiotic	control	infection
antibiotic	use against	infection
antibiotic	be against	infection
antibiotic	stop	infection
antibiotic	fight	infection
antibiotic	lead to	infection
antibiotic	use	infection
antibiotic	work against	infection
infection	resolve with	antibiotic
antibiotic	predispose to	infection
antibiotic	use in	infection
antibiotic	suppress	infection
antibiotic	require for	infection
antibiotic	resolve	infection
infection	cure by	antibiotic
infection	affect by	antibiotic
infection	treat without	antibiotic
infection	respond with	antibiotic
infection	use	antibiotic
antibiotic	need for	infection
infection	combat by	antibiotic
antibiotic	reserve for	infection
infection	control by	antibiotic
antibiotic	use for	infection
infection	help by	antibiotic
antibiotic	reduce	infection
antibiotic	eliminate	infection
antibiotic	restrict	infection
antibiotic	prevent	infection
antibiotic	be in	infection
infection	treat with	antibiotic
antibiotic	protect from	infection
antibiotic	mask	infection
antibiotic	clear	infection
infection	respond to	antibiotic
infection	bring with	antibiotic
infection	eradicate by	antibiotic
infection	prevent by	antibiotic
infection	require	antibiotic
antibiotic	eradicate	infection
antibiotic	be against	bacteria
bacteria	destroy by	antibiotic
antibiotic	reduce	bacteria
antibiotic	suppress	bacteria
antibiotic	derive from	bacteria
antibiotic	kill	bacteria
antibiotic	fight	bacteria
antibiotic	attack	bacteria
bacteria	develop to	antibiotic
antibiotic	eradicate	bacteria
bacteria	kill by	antibiotic
antibiotic	wipe	bacteria
antibiotic	inhibit in	bacteria
bacteria	respond to	antibiotic
bacteria	become to	antibiotic
bacteria	produce	antibiotic
bacteria	control with	antibiotic
antibiotic	destroy	bacteria
antibiotic	inhibit	bacteria
antibiotic	derive	bacteria
bacteria	affect by	antibiotic
antibiotic	work against	bacteria
antibiotic	depend on	bacteria
bacteria	treat with	antibiotic
bacteria	release	antibiotic
antibiotic	affect	bacteria
antibiotic	eliminate	bacteria
antibiotic	alter	bacteria
antibiotic	produce by	bacteria
bacteria	expose to	antibiotic
antibiotic	cover	bacteria
antibiotic	isolate from	bacteria
bacteria	protect from	antibiotic
antibiotic	use against	bacteria
bacteria	eradicate by	antibiotic
antibiotic	reach	bacteria
antibiotic	act on	bacteria
antibiotic	prevent	bacteria
antibiotic	obtain from	bacteria
bacteria	acquire to	antibiotic
organism	kill by	antibiotic
antibiotic	cover	organism
antibiotic	direct at	organism
antibiotic	kill	organism
antibiotic	eliminate	organism
organism	affect by	antibiotic
antibiotic	select	organism
antibiotic	eradicate	organism
antibiotic	derive from	organism
antibiotic	tailor to	organism
organism	become to	antibiotic
organism	eliminate with	antibiotic
antibiotic	direct against	organism
organism	form	antibiotic
antibiotic	be against	organism
antibiotic	destroy	organism
organism	treat with	antibiotic
antibiotic	depend on	organism
organism	kill with	antibiotic
antibiotic	select for	organism
organism	inhibit by	antibiotic
organism	respond to	antibiotic
organism	produce	antibiotic
antibiotic	produce by	organism
disease	control by	antibiotic
disease	cure by	antibiotic
antibiotic	administer in	disease
antibiotic	wipe	disease
antibiotic	treat	disease
antibiotic	give with	disease
disease	cure with	antibiotic
antibiotic	indicate in	disease
disease	require	antibiotic
antibiotic	cure	disease
antibiotic	be in	disease
antibiotic	cause	disease
disease	associate with	antibiotic
disease	induce by	antibiotic
antibiotic	control	disease
disease	treat with	antibiotic
antibiotic	abolish	disease
antibiotic	prevent	disease
antibiotic	be against	disease
antibiotic	prescribe for	disease
antibiotic	use for	disease
disease	treat by	antibiotic
disease	control with	antibiotic
antibiotic	use in	disease
antibiotic	indicate for	disease
disease	respond to	antibiotic
antibiotic	give after	procedure
procedure	cover with	antibiotic
antibiotic	be in	procedure
antibiotic	indicate for	procedure
antibiotic	start before	procedure
antibiotic	use for	procedure
antibiotic	give during	procedure
antibiotic	use in	procedure
antibiotic	administer before	procedure
antibiotic	administer as	procedure
antibiotic	administer to	procedure
antibiotic	administer during	procedure
antibiotic	use during	procedure
antibiotic	use after	procedure
antibiotic	continue after	procedure
antibiotic	give to	procedure
antibiotic	use before	procedure
antibiotic	give before	procedure
antibiotic	recommend for	procedure
antibiotic	give for	procedure
antibiotic	give to	surgery
antibiotic	discontinue after	surgery
surgery	cover with	antibiotic
antibiotic	start before	surgery
antibiotic	give before	surgery
antibiotic	administer after	surgery
antibiotic	give during	surgery
antibiotic	administer before	surgery
antibiotic	use during	surgery
antibiotic	give after	surgery
antibiotic	continue after	surgery
antibiotic	be in	surgery
