bronchopneumonia	differ from	pneumonia
pneumonia	classify as	bronchopneumonia
pneumonia	class as	infection
infection	progress to	pneumonia
infection	present as	pneumonia
infection	give to	pneumonia
infection	resemble	pneumonia
pneumonia	occur after	infection
pneumonia	mean	infection
pneumonia	refer to	infection
pneumonia	occur with	infection
pneumonia	define as	infection
infection	take with	pneumonia
infection	occur in	pneumonia
infection	complicate by	pneumonia
pneumonia	appear after	infection
pneumonia	complicate by	infection
infection	follow	pneumonia
pneumonia	represent	infection
infection	cause	pneumonia
pneumonia	produce by	infection
pneumonia	associate with	infection
infection	include	pneumonia
infection	precede	pneumonia
pneumonia	result from	infection
pneumonia	involve	infection
infection	produce	pneumonia
pneumonia	precede by	infection
infection	predispose to	pneumonia
infection	begin as	pneumonia
infection	manifest by	pneumonia
pneumonia	imply	infection
infection	present with	pneumonia
infection	lead to	pneumonia
pneumonia	occur during	infection
pneumonia	cause by	infection
infection	diagnose as	pneumonia
infection	result in	pneumonia
pneumonia	complicate	infection
infection	associate with	pneumonia
pneumonia	follow	infection
infection	complicate	pneumonia
infection	characterize by	pneumonia
pneumonia	begin as	infection
infection	manifest as	pneumonia
pneumonia	cause	infection
pneumonia	modify by	infection
pneumonia	occur as	infection
pneumonia	begin with	fever
pneumonia	characterize by	fever
pneumonia	accompany by	fever
fever	decline	pneumonia
pneumonia	mistake for	fever
pneumonia	confound with	fever
pneumonia	be in	fever
fever	complicate by	pneumonia
fever	indicate	pneumonia
pneumonia	complicate	fever
fever	associate with	pneumonia
pneumonia	present with	fever
pneumonia	exist with	fever
fever	mistake for	pneumonia
pneumonia	occur with	fever
fever	prevail with	pneumonia
pneumonia	accompany	fever
pneumonia	associate with	fever
fever	complicate with	pneumonia
pneumonia	be with	fever
pneumonia	produce	fever
pneumonia	come of	fever
pneumonia	cause	fever
fever	suggest	pneumonia
fever	resemble	pneumonia
fever	develop into	pneumonia
fever	see with	pneumonia
pneumonia	occur in	fever
death	follow from	pneumonia
pneumonia	result in	death
death	result from	pneumonia
death	be in	pneumonia
death	attribute to	pneumonia
pneumonia	lead to	death
pneumonia	produce	death
death	ensue from	pneumonia
pneumonia	associate with	death
death	follow	pneumonia
death	occur as	pneumonia
death	associate with	pneumonia
death	ascribe to	pneumonia
death	come from	pneumonia
death	cause by	pneumonia
death	be to	pneumonia
death	occur from	pneumonia
pneumonia	cause	death
pneumonia	account for	death
death	take from	pneumonia
death	be from	pneumonia
pneumonia	develop in	lung
lung	appear like	pneumonia
pneumonia	occur in	lung
lung	affect by	pneumonia
pneumonia	attack	lung
lung	consolidate by	pneumonia
lung	affect with	pneumonia
pneumonia	cause into	lung
pneumonia	produce in	lung
pneumonia	affect	lung
pneumonia	involve	lung
lung	show	pneumonia
lung	examine for	pneumonia
pneumonia	confine to	lung
pneumonia	cause by	aspiration
pneumonia	follow	aspiration
pneumonia	develop from	aspiration
pneumonia	result from	aspiration
aspiration	result in	pneumonia
aspiration	lead to	pneumonia
pneumonia	occur from	aspiration
pneumonia	suggest	aspiration
aspiration	produce	pneumonia
aspiration	cause	pneumonia
aspiration	present as	pneumonia
aspiration	precipitate	pneumonia
pneumonia	associate with	aspiration
aspiration	give to	pneumonia
bronchitis	develop into	pneumonia
pneumonia	precede by	bronchitis
bronchitis	complicate	pneumonia
pneumonia	associate with	bronchitis
bronchitis	complicate with	pneumonia
bronchitis	lead to	pneumonia
bronchitis	progress to	pneumonia
bronchitis	confound with	pneumonia
pneumonia	mistake for	bronchitis
pneumonia	confound with	bronchitis
bronchitis	turn into	pneumonia
bronchitis	commence	pneumonia
bronchitis	mistake for	pneumonia
bronchitis	associate with	pneumonia
bronchitis	distinguish from	pneumonia
pneumonia	begin as	bronchitis
bronchitis	occur	pneumonia
meningitis	associate with	pneumonia
pneumonia	associate with	meningitis
pneumonia	mistake for	meningitis
pneumonia	resemble	meningitis
meningitis	combine in	pneumonia
meningitis	mistake for	pneumonia
meningitis	follow	pneumonia
meningitis	complicate by	pneumonia
meningitis	complicate	pneumonia
pneumonia	precede	meningitis
meningitis	occur without	pneumonia
pneumonia	simulate	meningitis
meningitis	precede by	pneumonia
tuberculosis	differentiate from	pneumonia
pneumonia	confound with	tuberculosis
pneumonia	cause by	tuberculosis
tuberculosis	confound with	pneumonia
pneumonia	terminate in	tuberculosis
tuberculosis	cause	pneumonia
pneumonia	simulate	tuberculosis
pneumonia	mimic	tuberculosis
tuberculosis	follow	pneumonia
pneumonia	follow by	tuberculosis
tuberculosis	present as	pneumonia
tuberculosis	simulate	pneumonia
virus	associate with	pneumonia
virus	cause	pneumonia
pneumonia	cause by	virus
virus	produce	pneumonia
pleurisy	accompany	pneumonia
pleurisy	follow	pneumonia
pleurisy	originate	pneumonia
pleurisy	be in	pneumonia
pleurisy	confound with	pneumonia
pneumonia	accompany by	pleurisy
pneumonia	complicate with	pleurisy
pleurisy	confuse with	pneumonia
pleurisy	complicate	pneumonia
pleurisy	associate with	pneumonia
pneumonia	follow	pleurisy
pneumonia	precede by	influenza
influenza	follow by	pneumonia
influenza	predispose to	pneumonia
influenza	lead to	pneumonia
influenza	complicate by	pneumonia
influenza	cause	pneumonia
pneumonia	complicate	influenza
pneumonia	cause by	influenza
pneumonia	follow	influenza
pneumonia	include with	influenza
influenza	develop into	pneumonia
pneumonia	occur after	influenza
influenza	turn into	pneumonia
pneumonia	associate with	influenza
pneumococcus	play in	pneumonia
pneumococcus	affect	pneumonia
pneumococcus	produce	pneumonia
pneumonia	cause by	pneumococcus
pneumococcus	enter in	pneumonia
pneumococcus	cause	pneumonia
