syphilis	result in	neurosyphilis
syphilis	show	lesion
lesion	cause by	syphilis
lesion	characterize	syphilis
lesion	differentiate from	syphilis
lesion	indicate	syphilis
lesion	confuse with	syphilis
lesion	produce by	syphilis
lesion	include	syphilis
lesion	associate with	syphilis
lesion	suggest	syphilis
syphilis	include	lesion
lesion	occur in	syphilis
syphilis	present with	lesion
lesion	develop to	syphilis
syphilis	produce	lesion
lesion	occur during	syphilis
syphilis	start with	lesion
syphilis	consist of	lesion
syphilis	begin after	lesion
syphilis	cause	lesion
lesion	be in	syphilis
syphilis	characterize by	lesion
syphilis	receive through	lesion
lesion	describe in	syphilis
syphilis	represent by	lesion
lesion	see in	syphilis
syphilis	appear as	lesion
penicillin	cure	syphilis
syphilis	treat by	penicillin
syphilis	treat with	penicillin
penicillin	administer with	syphilis
penicillin	prevent	syphilis
penicillin	give for	syphilis
syphilis	cure with	penicillin
chancre	follow by	syphilis
chancre	communicate	syphilis
syphilis	produce	chancre
syphilis	develop after	chancre
syphilis	occur as	chancre
syphilis	present as	chancre
syphilis	result in	chancre
syphilis	characterize by	chancre
ulcer	occur in	syphilis
ulcer	find in	syphilis
ulcer	cause by	syphilis
syphilis	present	ulcer
syphilis	characterize by	ulcer
syphilis	produce	ulcer
syphilis	cause	ulcer
syphilis	present as	ulcer
ulcer	suggest	syphilis
syphilis	rule with	rash
syphilis	present as	rash
rash	indicate	syphilis
syphilis	characterize by	rash
paresis	know as	syphilis
syphilis	cause	paresis
paresis	cause by	syphilis
paresis	link to	syphilis
syphilis	develop	paresis
syphilis	bring about	inflammation
syphilis	produce	inflammation
syphilis	set	inflammation
inflammation	occur in	syphilis
inflammation	cause by	syphilis
syphilis	cause	inflammation
syphilis	occur as	inflammation
syphilis	associate with	inflammation
syphilis	contract during	intercourse
syphilis	follow	intercourse
syphilis	transmit by	intercourse
syphilis	contract by	intercourse
syphilis	transmit through	intercourse
syphilis	acquire by	intercourse
syphilis	spread by	intercourse
syphilis	acquire through	intercourse
syphilis	transfer by	intercourse
syphilis	infect	fetus
syphilis	transmit to	fetus
fetus	contract	syphilis
fetus	acquire	syphilis
syphilis	pass to	fetus
syphilis	affect	fetus
syphilis	acquire by	fetus
syphilis	contract by	fetus
fetus	get	syphilis
syphilis	characterize by	gumma
gumma	occur in	syphilis
gumma	find in	syphilis
syphilis	appear as	gumma
syphilis	give to	gumma
keratitis	cause by	syphilis
keratitis	associate with	syphilis
keratitis	occur in	syphilis
keratitis	accompany	syphilis
syphilis	produce	atrophy
syphilis	cause	atrophy
atrophy	occur in	syphilis
syphilis	cause by	spirochete
spirochete	find in	syphilis
spirochete	cause	syphilis
syphilis	transmit through	placenta
syphilis	transmit via	placenta
syphilis	transmit across	placenta
syphilis	involve	placenta
syphilis	produce	headache
syphilis	cause	headache
syphilis	manifest by	headache
headache	attribute to	syphilis
syphilis	incite	anaemia
syphilis	associate with	anaemia
syphilis	produce	anaemia
liver	affect in	syphilis
liver	involve in	syphilis
syphilis	involve	liver
syphilis	result in	death
syphilis	end in	death
syphilis	cause	death
syphilis	lead to	death
brain	affect by	syphilis
syphilis	damage	brain
syphilis	appear in	brain
syphilis	affect	brain
syphilis	infect	brain
syphilis	cure with	antibiotic
antibiotic	cure	syphilis
antibiotic	recommend for	syphilis
syphilis	treat with	antibiotic
yaw	distinguish from	syphilis
yaw	differ from	syphilis
syphilis	distinguish from	tuberculosis
tuberculosis	distinguish from	syphilis
tuberculosis	differentiate from	syphilis
tuberculosis	confuse with	syphilis
syphilis	begin with	sore
syphilis	characterize by	sore
syphilis	cause	sore
syphilis	attack	artery
syphilis	harden	artery
syphilis	set in	artery
syphilis	affect	vessel
vessel	affect by	syphilis
syphilis	involve	vessel
ulceration	occur from	syphilis
ulceration	occur in	syphilis
syphilis	cause	tumor
syphilis	produce	tumor
syphilis	be in	pharynx
syphilis	occur in	pharynx
paralysis	cause by	syphilis
paralysis	be in	syphilis
syphilis	cause	paralysis
syphilis	produce	paralysis
pain	be in	syphilis
pain	occur in	syphilis
syphilis	cause	pain
hemiplegia	speak for	syphilis
syphilis	cause	hemiplegia
syphilis	attack	bone
bone	affect by	syphilis
syphilis	affect	bone
syphilis	pass	bacteria
syphilis	cause by	bacteria
syphilis	result in	abortion
syphilis	cause	abortion
syphilis	associate with	abortion
syphilis	transmit in	utero
syphilis	acquire in	utero
syphilis	associate with	rickets
syphilis	resemble	rickets
syphilis	modify	rickets
rhinitis	see in	syphilis
retinitis	occur in	syphilis
syphilis	affect	nerve
nerve	attack by	syphilis
nerve	affect in	syphilis
syphilis	cause	deafness
convulsion	occur in	syphilis
catarrh	suggest	syphilis
arthritis	occur in	syphilis
syphilis	involve	aorta
syphilis	attack	aorta
syphilis	affect	aorta
alopecia	occur in	syphilis
syphilis	transmit by	transfusion
syphilis	transfer by	transfusion
syphilis	involve	testis
syphilis	affect	testis
parotitis	occur in	syphilis
syphilis	cause	papillitis
pancreatitis	find in	syphilis
palsy	occur in	syphilis
syphilis	cause	palsy
syphilis	produce	osteochondritis
syphilis	produce	osteitis
neuritis	be in	syphilis
syphilis	cause	neuritis
lymphocytosis	occur in	syphilis
syphilis	manifest by	hyperemia
hemorrhage	cause by	syphilis
syphilis	attend with	hemorrhage
hemoglobinuria	associate with	syphilis
syphilis	attack	heart
syphilis	affect	heart
syphilis	transmit to	foetus
syphilis	communicate to	foetus
syphilis	simulate	fever
syphilis	simulate	dementia
syphilis	cause	chorioretinitis
chorioretinitis	due to	syphilis
syphilis	cause	blindness
syphilis	lead to	blindness
syphilis	cause	aneurysm
aneurysm	cause by	syphilis
syphilis	cause	sterility
syphilis	cause	stenosis
std	include	syphilis
scrofula	associate with	syphilis
syphilis	cause	insanity
acne	develop in	syphilis
